Pattern, Color, # Bits, Bits, Count, LumenAvg, Lumen0, Lumen1, Lumen2
grouped2, White, 0b0000001100000111, 5, 3 of 3, 1183, 1210, 1135, 1205
grouped2, White, 0b0000011100000111, 6, 3 of 3, 1416, 1452, 1356, 1440
grouped2, White, 0b0000011100001111, 7, 3 of 3, 1654, 1694, 1585, 1683
grouped2, White, 0b0000111100001111, 8, 3 of 3, 1890, 1938, 1809, 1925
grouped2, White, 0b0000111100011111, 9, 3 of 3, 2129, 2180, 2038, 2170
grouped2, White, 0b0001111100011111, 10, 3 of 3, 2361, 2421, 2259, 2403
grouped2, White, 0b0001111100111111, 11, 3 of 3, 2600, 2666, 2488, 2646
grouped2, White, 0b0011111100111111, 12, 3 of 3, 2835, 2905, 2713, 2887
grouped2, White, 0b0011111101111111, 13, 3 of 3, 3072, 3147, 2939, 3131
grouped2, White, 0b0111111101111111, 14, 3 of 3, 3306, 3389, 3163, 3366
grouped2, White, 0b0111111111111111, 15, 3 of 3, 3540, 3630, 3387, 3605
grouped2, White, 0b1111111111111111, 16, 3 of 3, 3778, 3872, 3614, 3848
